id,title,queryType,queryId,published,tags,notes,created,collections
45792,"UFRJ (up to 2022)","SCHOLARLY","81893412-a49e-4454-bbda-5020c646510b",true,[],[],"2023-01-23T15:22:21Z",[]
45584,"UFRJ 2020-2022","SCHOLARLY","827e9291-aae5-4a34-bd2b-d32dbf05e6e0",true,[],[],"2023-01-16T20:04:26Z",[]
45583,"UFRJ 2013-2019","SCHOLARLY","b2c03b42-6244-4875-96e8-44dc26a597d5",true,[],[],"2023-01-16T20:03:53Z",[]
45582,"UFRJ 1900-2012","SCHOLARLY","355279a3-a056-4f13-a30f-58a701f177cb",true,[],[],"2023-01-16T19:58:54Z",[]
